Vertice, peso (V), Aresta, peso (A)
Lara Louise Corte Mattos, (1), Eliane Guaraldo, (1) 
Eliane Guaraldo, (2), Lara Louise Corte Mattos, (1) 
Eliane Guaraldo, (2), Heloisy Marangoni, (1) 
Heloisy Marangoni, (1), Eliane Guaraldo, (1) 
