Vertice, peso (V), Aresta, peso (A)
agua, (28), brejo, (1) 
agua, (28), semelhante, (1) 
agua, (28), impropria, (2) 
agua, (28), diferente, (1) 
agua, (28), proveniente, (1) 
agua, (28), contraste, (1) 
agua, (28), corrego, (1) 
agua, (28), tc, (1) 
agua, (28), atividade, (1) 
agua, (28), superficial, (1) 
agua, (28), elemento, (1) 
agua, (28), microbacia, (1) 
agua, (28), rio, (1) 
microbacia, (14), brejao, (1) 
microbacia, (14), altura, (1) 
microbacia, (14), vizinho, (1) 
microbacia, (14), contigua, (1) 
microbacia, (14), corrego, (3) 
corrego, (8), brejo, (1) 
corrego, (8), negro, (1) 
corrego, (8), sul, (1) 
corrego, (8), principalmente, (1) 
alteracao, (8), significativo, (1) 
alteracao, (8), processo, (1) 
alteracao, (8), mineral, (1) 
alteracao, (8), agua, (1) 
quimica, (6), principal, (1) 
quimica, (6), microbacia, (1) 
quimica, (6), fortemente, (1) 
principal, (6), eixo, (1) 
principal, (6), iom, (1) 
principal, (6), processo, (1) 
estudo, (5), causa, (1) 
estudo, (5), geografico, (1) 
estudo, (5), anterior, (1) 
tipo, (4), uso, (1) 
tipo, (4), acp, (1) 
pantanal, (4), matogrossense, (1) 
pantanal, (4), agua, (1) 
seco, (4), microbacia, (1) 
seco, (4), oxidacao, (1) 
