Vertice, peso (V), Aresta, peso (A)
macedo, (2), gamarra, (1) 
austral, (2), compreende, (1) 
fenomeno, (8), influencia, (1) 
fenomeno, (8), consequencia, (1) 
fenomeno, (8), exerce, (1) 
fenomeno, (8), el, (1) 
pantanal, (2), atuante, (1) 
regiao, (4), pantanal, (1) 
regiao, (4), impacto, (1) 
centro-oeste, (2), brasileiro, (1) 
flutuacao, (2), pressao, (1) 
nino, (4), nina, (2) 
presenca, (2), correlacao, (1) 
clima, (2), regiao, (1) 
evento, (2), climatico, (1) 
lag, (2), effect, (1) 
diferenca, (2), normalizado, (1) 
grosso, (2), sul, (1) 
resposta, (2), espectral, (1) 
ensoindice, (2), espectraissensoriamento, (1) 
compreende, (2), ciclo, (1) 
analise, (2), utilizacao, (1) 
nina, (4), vegetacao, (1) 
nina, (4), forte, (1) 
estudo, (2), cienciometrico, (1) 
pacifico, (2), fenomeno, (1) 
oscilation, (2), el, (1) 
utilizacao, (2), indice, (1) 
climatico, (4), indice, (1) 
climatico, (4), el, (1) 
ciclo, (2), flutuacao, (1) 
indice, (10), normalizada, (1) 
indice, (10), espectral, (2) 
indice, (10), vegetacao, (1) 
indice, (10), ndvi, (1) 
brasileiro, (2), estudo, (1) 
exerce, (2), centro-oeste, (1) 
fragmento, (2), vegetacao, (1) 
municipio, (2), miranda, (1) 
el, (8), nino-southern, (1) 
el, (8), nino-oscilacao, (1) 
el, (8), nino, (2) 
imagem, (4), objetivo, (1) 
imagem, (4), seguinte, (1) 
posteriormente, (2), imagem, (1) 
possivel, (2), alteracao, (1) 
espectral, (6), lag, (1) 
espectral, (6), indice, (1) 
espectral, (6), imagem, (1) 
geotecnologia, (2), posteriormente, (1) 
normalizado, (2), ndvi, (1) 
forte, (2), presenca, (1) 
impacto, (2), analise, (1) 
publicacao, (2), fenomeno, (1) 
pressao, (2), atmosferica, (1) 
effect, (2), evento, (1) 
normalizada, (2), nbr, (1) 
mato, (2), grosso, (1) 
oceano, (2), pacifico, (1) 
nbr, (4), fragmento, (1) 
nbr, (4), ensoindice, (1) 
influencia, (4), fenomeno, (1) 
influencia, (4), geotecnologia, (1) 
sul, (2), pertencente, (1) 
atuante, (2), possivel, (1) 
espectraissensoriamento, (2), remotocerradopantanal, (1) 
objetivo, (2), influencia, (1) 
cienciometrico, (2), respeito, (1) 
pedro, (2), ivo, (1) 
ndvi, (4), indice, (1) 
ndvi, (4), nbr, (1) 
temperatura, (2), oceano, (1) 
respeito, (2), publicacao, (1) 
remotocerradopantanal, (2), pedro, (1) 
ivo, (2), macedo, (1) 
efeito, (1), climatico, (1) 
nino-southern, (2), oscilation, (1) 
atmosferica, (2), temperatura, (1) 
miranda, (2), mato, (1) 
pertencente, (2), regiao, (1) 
alteracao, (2), el, (1) 
consequencia, (2), clima, (1) 
seguinte, (2), indice, (1) 
vegetacao, (6), diferenca, (1) 
vegetacao, (6), municipio, (1) 
vegetacao, (6), fenomeno, (1) 
nino-oscilacao, (2), austral, (1) 
correlacao, (2), resposta, (1) 
