Vertice, peso (V), Aresta, peso (A)
tipo, (2), string, (1) 
oliveira, (2), porfirio, (1) 
software, (4), vosviewer, (1) 
software, (4), gerenciador, (1) 
vicente, (2), mota, (1) 
relativamente, (2), recente, (1) 
america, (2), brasil, (1) 
clarivate, (2), analytic, (1) 
bibliometrico, (2), ranking, (1) 
analise, (10), bibliometrica, (1) 
analise, (10), profundo, (1) 
analise, (10), escopo, (1) 
analise, (10), conjunto, (1) 
analise, (10), base, (1) 
portanto, (2), publicacao, (1) 
sustentabilidade, (2), vicente, (1) 
scholaracademico, (2), varios, (1) 
bibliometrica, (4), presente, (1) 
bibliometrica, (4), base, (1) 
edith, (2), oliveira, (1) 
limagrasiela, (2), edith, (1) 
ambiental, (8), residuo, (1) 
ambiental, (8), analise, (1) 
ambiental, (8), producao, (1) 
ambiental, (8), politica, (1) 
natural, (2), artigo, (1) 
australia, (2), portanto, (1) 
autor, (6), tema, (1) 
autor, (6), aspecto, (1) 
autor, (6), processamento, (1) 
publicacao, (6), importancia, (1) 
publicacao, (6), tipo, (1) 
publicacao, (6), tema, (1) 
producao, (5), cientifica, (3) 
importancia, (2), preservacao, (1) 
abordagem, (2), cientifica, (1) 
periodo, (2), recorte, (1) 
parametro, (2), bibliometrico, (1) 
objeto, (6), analise, (1) 
objeto, (6), estudo, (2) 
global, (2), atencao, (1) 
hot, (2), topic, (1) 
objetivo, (2), sintese, (1) 
palavra-chave, (2), hot, (1) 
bibliografica, (2), base, (1) 
cienciometrico, (2), analise, (1) 
comunicacao, (2), autor, (1) 
prioridade, (2), analise, (1) 
infere-se, (2), constatacao, (1) 
web, (2), of, (1) 
conjunto, (2), tema, (1) 
colecao, (2), principal, (1) 
bibliografico, (2), documento, (1) 
respeito, (2), bruto, (1) 
palavra, (2), chave, (1) 
editor, (2), planilha, (1) 
governante, (2), stackeholder, (1) 
varios, (2), publicacao, (1) 
planilha, (2), microsoft, (1) 
pesquisa, (2), comunicacao, (1) 
excel, (2), base, (1) 
face, (2), base, (1) 
endnote, (2), software, (1) 
processamento, (2), software, (1) 
ranking, (4), publicacoes, (1) 
ranking, (4), distribuicao, (1) 
preservacao, (2), recurso, (1) 
analytic, (2), daqui, (1) 
isi, (2), web, (1) 
complementar, (2), referencia, (1) 
referencia, (2), bibliografica, (1) 
vosviewer, (2), editor, (1) 
publicacoes, (2), america, (1) 
cientifica, (8), politica, (2) 
cientifica, (8), base, (1) 
cientifica, (8), pais, (1) 
sintese, (2), cientifico, (1) 
daqui, (2), wo, (1) 
grupo, (2), pais, (1) 
documento, (4), artigo, (1) 
documento, (4), base, (1) 
brasil, (2), australia, (1) 
microsoft, (2), excel, (1) 
ambos, (2), base, (1) 
cientifico, (4), correlacao, (1) 
cientifico, (4), politica, (1) 
correto, (2), tratamento, (1) 
tratamento, (2), residuo, (1) 
links, (2), tema, (1) 
bibliometria, (2), cienciometria, (1) 
coautoria, (2), artigo, (1) 
intertemporal, (2), deu-se, (1) 
estudo, (6), parametro, (1) 
estudo, (6), documento, (1) 
estudo, (6), visualizacao, (1) 
elsevier, (2), coletado, (1) 
recorte, (2), intertemporal, (1) 
solido, (4), educacao, (2) 
cientista, (2), governante, (1) 
porfirio, (2), petry, (1) 
educacao, (8), ambiental, (4) 
cienciometria, (2), educacao, (1) 
cooperacao, (2), coautoria, (1) 
visualizacao, (2), bibliometrica, (1) 
topic, (2), tema, (1) 
stackeholder, (2), infere-se, (1) 
coocorrencia, (2), principal, (1) 
mota, (2), limagrasiela, (1) 
recurso, (2), natural, (1) 
deu-se, (2), prioridade, (1) 
string, (2), base, (1) 
aspecto, (2), cienciometrico, (1) 
atencao, (2), cientista, (1) 
escopo, (2), estudo, (1) 
gerenciador, (2), bibliografia, (1) 
relevancia, (2), global, (1) 
artigo, (6), cientifico, (1) 
artigo, (6), links, (1) 
artigo, (6), autor, (1) 
principal, (4), palavra-chave, (1) 
principal, (4), clarivate, (1) 
of, (2), colecao, (1) 
wo, (2), scopu, (1) 
aparentemente, (2), tocante, (1) 
publica, (6), residuo, (3) 
resultado, (2), apesar, (1) 
coletado, (2), ambos, (1) 
dado, (4), scopu, (1) 
dado, (4), respeito, (1) 
scopu, (6), elsevier, (1) 
scopu, (6), resultado, (1) 
scopu, (6), complementar, (1) 
mundo, (2), grupo, (1) 
constatacao, (2), abordagem, (1) 
recente, (2), producao, (1) 
chave, (2), relevancia, (1) 
presente, (2), objetivo, (1) 
bibliografia, (2), endnote, (1) 
apesar, (2), autor, (1) 
politica, (8), publica, (3) 
politica, (8), educacao, (1) 
pais, (4), mundo, (1) 
pais, (4), ranking, (1) 
residuo, (10), solido, (2) 
residuo, (10), sustentabilidade, (1) 
residuo, (10), bibliometria, (1) 
residuo, (10), coocorrencia, (1) 
maneiro, (2), aparentemente, (1) 
periodico, (2), publicacao, (1) 
tema, (10), pesquisa, (1) 
tema, (10), palavra, (1) 
tema, (10), maneiro, (1) 
tema, (10), periodico, (1) 
tema, (10), cooperacao, (1) 
profundo, (2), face, (1) 
bruto, (2), periodo, (1) 
distribuicao, (2), objeto, (1) 
correlacao, (2), relativamente, (1) 
tocante, (2), correto, (1) 
base, (18), dado, (2) 
base, (18), scopu, (1) 
base, (18), analise, (1) 
base, (18), objeto, (2) 
base, (18), bibliografico, (1) 
base, (18), scholaracademico, (1) 
base, (18), isi, (1) 
