Vertice, peso (V), Aresta, peso (A)
base, (18), dado, (2) 
base, (18), scopu, (1) 
base, (18), analise, (1) 
base, (18), objeto, (2) 
base, (18), bibliografico, (1) 
base, (18), scholaracademico, (1) 
base, (18), isi, (1) 
analise, (10), bibliometrica, (1) 
analise, (10), profundo, (1) 
analise, (10), escopo, (1) 
analise, (10), conjunto, (1) 
analise, (10), base, (1) 
residuo, (10), solido, (2) 
residuo, (10), sustentabilidade, (1) 
residuo, (10), bibliometria, (1) 
residuo, (10), coocorrencia, (1) 
tema, (10), pesquisa, (1) 
tema, (10), palavra, (1) 
tema, (10), maneiro, (1) 
tema, (10), periodico, (1) 
tema, (10), cooperacao, (1) 
ambiental, (8), residuo, (1) 
ambiental, (8), analise, (1) 
ambiental, (8), producao, (1) 
ambiental, (8), politica, (1) 
cientifica, (8), politica, (2) 
cientifica, (8), base, (1) 
cientifica, (8), pais, (1) 
educacao, (8), ambiental, (4) 
politica, (8), publica, (3) 
politica, (8), educacao, (1) 
autor, (6), tema, (1) 
autor, (6), aspecto, (1) 
autor, (6), processamento, (1) 
publicacao, (6), importancia, (1) 
publicacao, (6), tipo, (1) 
publicacao, (6), tema, (1) 
