Vertice, peso (V), Aresta, peso (A)
agua, (8), barramento, (1) 
agua, (8), enfim, (1) 
agua, (8), erro, (1) 
agua, (8), equipamento, (1) 
equipamento, (8), uso, (1) 
equipamento, (8), batimetria, (1) 
equipamento, (8), validacao, (1) 
equipamento, (8), capitulo, (1) 
veiculo, (6), teste, (1) 
veiculo, (6), barragem, (1) 
veiculo, (6), hidrico, (1) 
batimetria, (6), foco, (1) 
batimetria, (6), calculo, (1) 
batimetria, (6), lago, (1) 
dado, (6), veiculo, (1) 
dado, (6), softwar, (1) 
dado, (6), validacao, (1) 
pesquisa, (6), cientifica, (1) 
pesquisa, (6), disponivel, (1) 
pesquisa, (6), abrangencia, (1) 
teste, (4), escolha, (1) 
teste, (4), equipamento, (1) 
sequencial, (4), morfometria, (1) 
sequencial, (4), tecnica, (1) 
barramento, (4), fundamental, (1) 
barramento, (4), agua, (1) 
levantamento, (4), bibliometrico, (1) 
levantamento, (4), caracteristica, (1) 
