Vertice, peso (V), Aresta, peso (A)
projeto, (9), objetivo, (1) 
projeto, (9), tecnologia, (1) 
projeto, (9), casa, (2) 
projeto, (9), habitacao, (1) 
ec, (8), uso, (1) 
ec, (8), discussao, (1) 
ec, (8), espaco, (1) 
ec, (8), literatura, (1) 
popular, (8), licitacao, (1) 
popular, (8), arquitetura, (1) 
popular, (8), habitacao, (1) 
popular, (8), mato, (1) 
arquitetura, (8), modular, (2) 
arquitetura, (8), une, (1) 
arquitetura, (8), ec, (1) 
casa, (6), popular, (3) 
ambiental, (6), sobretudo, (1) 
ambiental, (6), henrique, (1) 
ambiental, (6), disciplina, (1) 
habitacao, (6), casa, (1) 
habitacao, (6), interesse, (1) 
habitacao, (6), popular, (1) 
demanda, (4), diverso, (1) 
demanda, (4), unidade, (1) 
licitacao, (4), projeto, (1) 
licitacao, (4), mato, (1) 
caso, (4), cadeia, (1) 
caso, (4), valorizacao, (1) 
