Vertice, peso (V), Aresta, peso (A)
rio, (14), uso, (1) 
rio, (14), aquidauana, (3) 
rio, (14), sazonalmente, (1) 
rio, (14), aquidauanadinamica, (1) 
rio, (14), varios, (1) 
natural, (10), associar, (1) 
natural, (10), natural, (1) 
natural, (10), social, (1) 
natural, (10), caracterizada, (1) 
natural, (10), medio, (1) 
bacia, (8), hidrografica, (3) 
bacia, (8), diversos, (1) 
inundacao, (8), periodica, (1) 
inundacao, (8), transtorno, (1) 
inundacao, (8), enchente, (1) 
inundacao, (8), bacia, (1) 
cidade, (8), sul-mato-grossense, (1) 
cidade, (8), transformacao, (1) 
cidade, (8), aquidauanams, (2) 
hidrografica, (8), clima, (1) 
hidrografica, (8), rio, (3) 
aquidauana, (6), cidade, (1) 
aquidauana, (6), condicionante, (1) 
aquidauana, (6), impacto, (1) 
ambiental, (4), socioeconomico, (1) 
ambiental, (4), bacia, (1) 
impacto, (4), cidade, (1) 
impacto, (4), planejamento, (1) 
curso, (4), cidade, (1) 
curso, (4), rio, (1) 
