Vertice, peso (V), Aresta, peso (A)
propriedade, (8), pantanalrio, (1) 
propriedade, (8), brt, (1) 
propriedade, (8), rural, (1) 
propriedade, (8), planalto, (1) 
legal, (6), diferente, (1) 
legal, (6), presente, (1) 
legal, (6), somente, (1) 
rio, (6), taquari, (2) 
rio, (6), taquar, (1) 
area, (6), protecao, (1) 
area, (6), preservacao, (1) 
area, (6), bacia, (1) 
brt, (6), reflexao, (1) 
brt, (6), planalto, (1) 
brt, (6), grau, (1) 
reserva, (6), legal, (3) 
planalto, (6), sedimentacao, (1) 
planalto, (6), pantaneiro, (1) 
planalto, (6), irregular, (1) 
cobertura, (4), solo, (2) 
bacia, (4), hidrografica, (1) 
bacia, (4), rio, (1) 
taquari, (4), brt, (1) 
taquari, (4), fenomeno, (1) 
