Vertice, peso (V), Aresta, peso (A)
, (2), milhoes, (1) 
perda, (16), economica, (1) 
perda, (16), superficie, (1) 
perda, (16), producao, (2) 
perda, (16), vegetacao, (1) 
perda, (16), us, (2) 
perda, (16), prejuizo, (1) 
multifamiliar, (2), potencializacao, (1) 
governo, (2), distrito, (1) 
aglomerado, (2), serra, (1) 
fim, (2), hidreletrico, (1) 
qualitativo, (2), quantitativamente, (1) 
serra, (4), belo, (1) 
serra, (4), relevante, (1) 
vie, (2), social, (1) 
suscetivel, (2), variacao, (1) 
analise, (12), zoneamento, (1) 
analise, (12), metrica, (1) 
analise, (12), urbanistica, (3) 
analise, (12), sensibilidade, (1) 
devastacao, (2), bioma, (1) 
hipotese, (4), estacao, (1) 
hipotese, (4), comportamento, (1) 
emissao, (2), gas, (1) 
prejuizo, (2), us, (1) 
utilizacao, (4), ferramenta, (1) 
utilizacao, (4), analise, (1) 
swat-cup, (2), algoritmo, (1) 
qualidade, (2), tematica, (1) 
atrativo, (2), turistico, (1) 
publicacao, (2), lucc, (1) 
demografica, (2), nivel, (1) 
distinto, (2), comprovacao, (1) 
util, (2), desenvolvimento, (1) 
equivalente, (2), us, (1) 
municipal, (2), legislacao, (1) 
plano, (2), diretor, (1) 
escaner, (2), aereo, (1) 
geoprocessamento, (4), gratuito, (1) 
geoprocessamento, (4), mapa, (1) 
concluimo, (2), quantidade, (1) 
abordagem, (2), capaz, (1) 
mineiro, (2), mina, (1) 
zoneamento, (2), plano, (1) 
urbano, (6), pesquisa, (1) 
urbano, (6), atrator, (1) 
urbano, (6), precedente, (1) 
potencialidade, (2), implementacao, (1) 
instituicao, (2), populacao, (1) 
metrica, (12), paisagem, (5) 
metrica, (12), analise, (1) 
prazo, (2), simulacao, (1) 
agricola, (8), brasileiro, (1) 
agricola, (8), amazonia, (1) 
agricola, (8), relevancia, (1) 
agricola, (8), implicacao, (1) 
planejamento, (4), urbano, (1) 
planejamento, (4), futuro, (1) 
dinamica, (8), ocupacao, (1) 
dinamica, (8), espacial, (1) 
dinamica, (8), mudanca, (1) 
dinamica, (8), urbanistica, (1) 
conjunto, (2), comportamento, (1) 
investigacao, (2), quantificamo, (1) 
originalmente, (2), informais, (1) 
mudanca, (28), ocupacao, (1) 
mudanca, (28), climatica, (10) 
mudanca, (28), paisagem, (1) 
mudanca, (28), analise, (1) 
mudanca, (28), solo, (1) 
unifamiliar, (2), multifamiliar, (1) 
ce, (6), perda, (1) 
ce, (6), capitulo, (1) 
ce, (6), gera, (1) 
efeito, (2), mudanca, (1) 
marco, (2), provavel, (1) 
habitacional, (4), sol, (2) 
extraindo, (2), metrica, (1) 
u, (4), bilhao, (2) 
frances, (2), modelo, (1) 
vegetacao, (6), influencia, (1) 
vegetacao, (6), nativo, (1) 
vegetacao, (6), arborea, (1) 
mina, (8), geral, (4) 
algoritmo, (2), simulacoes, (1) 
aereo, (2), ortofoto, (1) 
brasil, (8), funcao, (1) 
brasil, (8), deixasse, (1) 
brasil, (8), durante, (1) 
brasil, (8), etapa, (1) 
transformacao, (4), urbanistica, (2) 
resposta, (6), crescente, (1) 
resposta, (6), hidrologica, (1) 
resposta, (6), mudanca, (1) 
mapeamento, (6), potencial, (1) 
mapeamento, (6), regiao, (2) 
permeavel, (4), espaco, (1) 
permeavel, (4), vegetacao, (1) 
quantidade, (2), chuva, (1) 
area, (8), perda, (1) 
area, (8), potencialidade, (1) 
area, (8), permeavel, (1) 
area, (8), desenvolvimento, (1) 
distrito, (6), federal, (3) 
soja, (12), milho, (5) 
soja, (12), carne, (1) 
energia, (4), hidreletrica, (1) 
energia, (4), eletrica, (1) 
ferroviario, (2), importante, (1) 
volume, (4), chuva, (2) 
afluente, (4), extremo, (1) 
afluente, (4), mensal, (1) 
conflito, (2), transporte, (1) 
projeto, (4), mapbioma, (1) 
projeto, (4), cmip, (1) 
produtor, (2), u, (1) 
irregularesplanejamento, (2), urbanosol, (1) 
quebra, (2), soja, (1) 
