Vertice, peso (V), Aresta, peso (A)
pavimento, (18), fcn, (1) 
pavimento, (18), pavimento, (5) 
pavimento, (18), parametro, (1) 
pavimento, (18), presente, (1) 
pavimento, (18), asfaltico, (1) 
imagem, (14), dimensoes, (1) 
imagem, (14), delimitacao, (1) 
imagem, (14), sensoriamento, (2) 
imagem, (14), cada, (1) 
imagem, (14), aerea, (2) 
rede, (8), neural, (2) 
rede, (8), segnet, (1) 
rede, (8), profundo, (1) 
segnet, (6), pavimento, (2) 
segnet, (6), segmentation, (1) 
superficie, (6), uso, (1) 
superficie, (6), pavimento, (1) 
superficie, (6), imagem, (1) 
regiao, (4), exaustivo, (1) 
regiao, (4), fim, (1) 
acuracia, (4), pixel-pixel, (1) 
acuracia, (4), ambos, (1) 
automatica, (4), tipo, (1) 
automatica, (4), classe, (1) 
estudo, (4), superficie, (1) 
estudo, (4), municipio, (1) 
aplicacao, (4), rede, (1) 
aplicacao, (4), destacar, (1) 
