Vertice, peso (V), Aresta, peso (A)
, (30), , (2) 
, (30), orgao, (1) 
, (30), cprm, (1) 
, (30), latitude, (1) 
, (30), fonte, (1) 
, (30), problema, (1) 
, (30), brumado, (1) 
, (30), principalmente, (1) 
, (30), milhoes, (1) 
, (30), lcm, (1) 
, (30), mg, (1) 
, (30), mina, (2) 
, (30), longitude, (1) 
governo, (4), distrito, (1) 
governo, (4), decada, (1) 
interativo, (2), plataforma, (1) 
corrego, (8), , (1) 
corrego, (8), ressaca, (1) 
corrego, (8), belo, (1) 
corrego, (8), brumadinhomg, (1) 
pico, (8), resultado, (1) 
pico, (8), vazo, (1) 
pico, (8), criacao, (1) 
pico, (8), modelo, (1) 
protected, (2), area, (1) 
emprego, (8), confusao, (1) 
emprego, (8), conjunto, (1) 
emprego, (8), energia, (1) 
emprego, (8), renda, (1) 
remoto, (8), analise, (1) 
remoto, (8), particular, (1) 
remoto, (8), geoprocessamento, (1) 
remoto, (8), relevante, (1) 
utilizacao, (11), metodologia, (1) 
utilizacao, (11), ferramenta, (1) 
utilizacao, (11), analise, (1) 
utilizacao, (11), modelo, (1) 
utilizacao, (11), matriz, (1) 
utilizacao, (11), agua, (1) 
geomorfologica, (2), bacia, (1) 
atrativo, (2), turistico, (1) 
estadual, (16), hidrica, (1) 
estadual, (16), ambiente, (1) 
estadual, (16), rio, (4) 
estadual, (16), programa, (1) 
estadual, (16), reducao, (1) 
-, (36), conforme, (1) 
-, (36), marianamg, (1) 
-, (36), coronel, (1) 
-, (36), swmm, (1) 
-, (36), estacao, (1) 
-, (36), timoteo, (1) 
-, (36), egoamazoniamodelagem, (1) 
-, (36), mt, (1) 
-, (36), mg, (3) 
-, (36), regiao, (1) 
-, (36), mdt, (1) 
-, (36), m, (5) 
geomorfologico, (4), sentido, (1) 
geomorfologico, (4), bacia, (1) 
demografica, (4), vetor, (1) 
demografica, (4), nivel, (1) 
distinto, (4), comprovacao, (1) 
distinto, (4), ritmo, (1) 
latino, (2), principal, (1) 
util, (4), transitofluxocentro, (1) 
util, (4), desenvolvimento, (1) 
escaner, (2), aereo, (1) 
legalrestauracao, (2), ecologicasistema, (1) 
abordagem, (6), metodologica, (2) 
abordagem, (6), capaz, (1) 
mineiro, (10), resultado, (1) 
mineiro, (10), conjunto, (1) 
mineiro, (10), incendio, (1) 
mineiro, (10), mina, (1) 
mineiro, (10), mateu, (1) 
hidrograma, (4), resultado, (1) 
hidrograma, (4), separacao, (1) 
urbano, (62), atual, (1) 
urbano, (62), cobertura, (1) 
urbano, (62), compreensao, (1) 
urbano, (62), verde, (1) 
urbano, (62), gerenciamento, (1) 
urbano, (62), bacia, (1) 
