Vertice, peso (V), Aresta, peso (A)
, (28), , (2) 
, (28), milhoes, (1) 
, (28), cprm, (1) 
, (28), lcm, (1) 
, (28), latitude, (1) 
, (28), fonte, (1) 
, (28), problema, (1) 
, (28), mg, (1) 
, (28), brumado, (1) 
, (28), mina, (2) 
, (28), longitude, (1) 
, (28), principalmente, (1) 
baseada, (2), similaridade, (1) 
habitat, (30), ameaca, (1) 
habitat, (30), riacho, (1) 
habitat, (30), fisico, (13) 
governo, (4), distrito, (1) 
governo, (4), decada, (1) 
aglomerado, (2), serra, (1) 
interativo, (2), plataforma, (1) 
quimico, (2), bacia, (1) 
ego, (2), cenario, (1) 
corrego, (8), , (1) 
corrego, (8), ressaca, (1) 
corrego, (8), belo, (1) 
corrego, (8), brumadinhomg, (1) 
comercial, (2), intraurbana, (1) 
pico, (6), resultado, (1) 
pico, (6), vazo, (1) 
pico, (6), criacao, (1) 
vie, (2), social, (1) 
protected, (2), area, (1) 
emprego, (6), confusao, (1) 
emprego, (6), conjunto, (1) 
emprego, (6), energia, (1) 
episodio, (2), escassez, (1) 
bombeiro, (2), direto, (1) 
devastacao, (2), bioma, (1) 
portanto, (4), objetivo, (1) 
portanto, (4), necessidade, (1) 
hipotese, (4), estacao, (1) 
hipotese, (4), comportamento, (1) 
remoto, (8), analise, (1) 
remoto, (8), particular, (1) 
remoto, (8), geoprocessamento, (1) 
remoto, (8), relevante, (1) 
uberaba, (2), metodo, (1) 
utilizacao, (11), metodologia, (1) 
utilizacao, (11), ferramenta, (1) 
utilizacao, (11), analise, (1) 
utilizacao, (11), modelo, (1) 
utilizacao, (11), matriz, (1) 
utilizacao, (11), agua, (1) 
geomorfologica, (2), bacia, (1) 
swat-cup, (2), algoritmo, (1) 
fonte, (14), area, (1) 
fonte, (14), institucional, (1) 
fonte, (14), integrada, (1) 
fonte, (14), poluidor, (1) 
fonte, (14), pv, (1) 
fonte, (14), litologica, (1) 
fonte, (14), renovavel, (1) 
geofisico, (2), disturbio, (1) 
atrativo, (2), turistico, (1) 
estadual, (4), hidrica, (1) 
estadual, (4), reducao, (1) 
-, (36), conforme, (1) 
-, (36), marianamg, (1) 
-, (36), coronel, (1) 
-, (36), swmm, (1) 
-, (36), estacao, (1) 
-, (36), timoteo, (1) 
-, (36), egoamazoniamodelagem, (1) 
-, (36), mt, (1) 
-, (36), mg, (3) 
-, (36), regiao, (1) 
-, (36), mdt, (1) 
-, (36), m, (5) 
prioridades, (2), conservacao, (1) 
cultural, (7), economicamente, (1) 
cultural, (7), produtivo, (1) 
cultural, (7), cenario, (1) 
geomorfologico, (4), sentido, (1) 
geomorfologico, (4), bacia, (1) 
instituto, (2), nacional, (1) 
sugerimo, (2), mecanismo, (1) 
demografica, (4), vetor, (1) 
demografica, (4), nivel, (1) 
biologica, (4), especie, (1) 
biologica, (4), processo, (1) 
distinto, (4), comprovacao, (1) 
distinto, (4), ritmo, (1) 
latino, (2), principal, (1) 
util, (2), desenvolvimento, (1) 
municipal, (2), legislacao, (1) 
deteccao, (1), painel, (1) 
modelar, (2), copa, (1) 
escaner, (2), aereo, (1) 
vista, (2), povo, (1) 
abordagem, (4), metodologica, (1) 
abordagem, (4), capaz, (1) 
mineiro, (8), resultado, (1) 
mineiro, (8), incendio, (1) 
mineiro, (8), mina, (1) 
mineiro, (8), mateu, (1) 
hidrograma, (2), separacao, (1) 
fabriciano, (2), -, (1) 
urbano, (58), cobertura, (1) 
urbano, (58), compreensao, (1) 
urbano, (58), verde, (1) 
urbano, (58), gerenciamento, (1) 
urbano, (58), bacia, (1) 
urbano, (58), anterior, (1) 
urbano, (58), principal, (1) 
urbano, (58), horizontal, (1) 
urbano, (58), laser, (1) 
urbano, (58), atrator, (1) 
