Vertice, peso (V), Aresta, peso (A)
tipo, (2), diretriz, (1) 
software, (4), uso, (1) 
software, (4), livre, (1) 
preocupacao, (2), cientifico, (1) 
via, (2), elevando, (1) 
lei, (2), norma, (1) 
bibliometrico, (4), gerou-se, (1) 
bibliometrico, (4), base, (1) 
metodologica, (2), informacao, (1) 
possibilitando, (2), area, (1) 
devido, (2), controlo, (1) 
ocupacao, (4), terra, (1) 
ocupacao, (4), solo, (1) 
diretriz, (2), correlato, (1) 
suscetivel, (2), impacto, (1) 
analise, (3), vulnerabilidade, (1) 
analise, (3), geografica, (1) 
inundacao, (14), area, (1) 
inundacao, (14), urbano, (6) 
geografica, (2), ocupacao, (1) 
metodo, (4), bibliometrico, (2) 
frente, (4), area, (1) 
frente, (4), inundacao, (1) 
substancial, (2), ambiente, (1) 
recorrente, (2), inundacao, (1) 
natural, (4), devido, (1) 
natural, (4), inundacao, (1) 
indice, (2), solo, (1) 
municipio, (2), campo, (1) 
aplicacao, (4), software, (1) 
aplicacao, (4), softwar, (1) 
vulnerabilidade, (4), frente, (1) 
vulnerabilidade, (4), inundacao, (1) 
desenvolvimento, (4), municipio, (1) 
desenvolvimento, (4), suscetivel, (1) 
-, (2), m, (1) 
autor, (2), base, (1) 
impacto, (2), natural, (1) 
publicacao, (2), base, (1) 
microbacia, (6), hidrografica, (1) 
microbacia, (6), segredo, (2) 
contribuicao, (2), pluviometrica, (1) 
plano, (2), diretor, (1) 
hidrografica, (4), segredo, (1) 
hidrografica, (4), inundacao, (1) 
metodologia, (2), facil, (1) 
urbano, (16), pesquisa, (1) 
urbano, (16), publicacao, (1) 
urbano, (16), referente, (1) 
urbano, (16), substancial, (1) 
urbano, (16), drenagem, (1) 
urbano, (16), microbacia, (1) 
urbano, (16), problematica, (1) 
urbano, (16), gerenciamento, (1) 
ambiente, (2), solo, (1) 
diretor, (2), drenagem, (1) 
planejamento, (2), urbano, (1) 
urbana, (4), existente, (1) 
urbana, (4), bacia, (1) 
conjunto, (2), earth, (1) 
hannover, (2), conjunto, (1) 
norma, (2), mapeando, (1) 
aliando, (2), tipo, (1) 
m, (6), pesquisa, (1) 
m, (6), metodologia, (1) 
m, (6), brasil, (1) 
moradia, (2), via, (1) 
grau, (2), desenvolvimento, (1) 
pesquisa, (10), produto, (1) 
pesquisa, (10), analise, (1) 
pesquisa, (10), pratica, (1) 
pesquisa, (10), estudo, (1) 
pesquisa, (10), base, (1) 
informacao, (4), processo, (1) 
informacao, (4), aplicacao, (1) 
produto, (2), publico, (1) 
segredo, (6), analisou-se, (1) 
segredo, (6), campo, (2) 
sociedade, (2), investigacoes, (1) 
capitulo, (2), pesquisa, (1) 
intervencao, (2), plano, (1) 
mapeando, (2), area, (1) 
pratica, (4), infiltracao, (1) 
pratica, (4), acao, (1) 
vosviewer, (2), capitulo, (1) 
referente, (2), microbacia, (1) 
terra, (2), desastre, (1) 
correlato, (2), vulnerabilidade, (1) 
acesso, (2), capes, (1) 
controlo, (4), ma, (1) 
controlo, (4), monitoramento, (1) 
brasil, (2), pais, (1) 
qgil, (2), hannover, (1) 
gerou-se, (2), carta, (1) 
bacia, (2), hidrografica, (1) 
infiltracao, (6), area, (1) 
infiltracao, (6), microbacia, (1) 
infiltracao, (6), grau, (1) 
uso, (4), livre, (2) 
ambos, (2), custo, (1) 
ma, (2), gestao, (1) 
drenagem, (4), urbana, (2) 
cientifico, (2), sociedade, (1) 
existente, (2), aliando, (1) 
conceicao, (2), paranho, (1) 
questao, (2), planejamento, (1) 
estudo, (4), gerenciado, (1) 
estudo, (4), metodo, (1) 
pluviometrica, (2), problema, (1) 
area, (10), infiltracao, (1) 
area, (10), compativel, (1) 
area, (10), informacao, (1) 
area, (10), urbano, (1) 
area, (10), contribuicao, (1) 
capes, (2), aplicacao, (1) 
paranho, (2), filho, (1) 
elsevier, (2), acesso, (1) 
gestao, (4), ocupacao, (1) 
gestao, (4), medido, (1) 
adriane, (2), fagunde, (1) 
gerenciado, (2), intervencao, (1) 
problema, (4), recorrente, (1) 
problema, (4), socioambiental, (1) 
manuseio, (2), ambos, (1) 
minimizacao, (2), pratica, (1) 
pro, (2), pesquisa, (1) 
campo, (6), m, (2) 
campo, (6), -, (1) 
livre, (6), mendeley, (1) 
livre, (6), adriane, (1) 
livre, (6), qgil, (1) 
analisou-se, (2), criterioso, (1) 
decorrendo, (2), minimizacao, (1) 
linoantonio, (2), conceicao, (1) 
fagunde, (2), linoantonio, (1) 
problematica, (2), estudo, (1) 
gerenciamento, (2), risco, (1) 
principal, (2), autor, (1) 
compativel, (2), infiltracao, (1) 
softwar, (2), uso, (1) 
criterioso, (2), lei, (1) 
custo, (2), possibilitando, (1) 
medido, (2), controlo, (1) 
socioambiental, (2), questao, (1) 
publico, (2), auxilio, (1) 
carta, (2), risco, (1) 
facil, (2), manuseio, (1) 
auxilio, (2), gestao, (1) 
dado, (2), scopu, (1) 
scopu, (4), elsevier, (1) 
scopu, (4), preocupacao, (1) 
solo, (6), principal, (1) 
solo, (6), decorrendo, (1) 
solo, (6), moradia, (1) 
elevando, (2), indice, (1) 
pais, (2), desenvolvimento, (1) 
mendeley, (2), vosviewer, (1) 
desastre, (2), natural, (1) 
processo, (2), pesquisa, (1) 
earth, (2), pro, (1) 
investigacoes, (2), risco, (1) 
acao, (2), frente, (1) 
base, (8), metodologica, (1) 
base, (8), dado, (1) 
base, (8), scopu, (1) 
base, (8), metodo, (1) 
risco, (6), software, (1) 
risco, (6), inundacao, (2) 
monitoramento, (2), problema, (1) 
