Vertice, peso (V), Aresta, peso (A)
tipo, (2), conflito, (1) 
fitossanitaria, (2), arvoreskm, (1) 
oferta, (2), curso, (1) 
infraestrutura, (2), passeio, (1) 
programa, (2), educacao, (1) 
cerca, (2), arvore, (1) 
presenca, (4), cupim, (1) 
presenca, (4), qualquer, (1) 
urbanasinventario, (2), quali-quantitativolevantamento, (1) 
sentido, (2), objetivo, (1) 
dentre, (2), arvore, (1) 
quali-quantitativolevantamento, (2), floristico, (1) 
ambiental, (2), arvor, (1) 
municipio, (4), aquidauana, (1) 
municipio, (4), plantio, (1) 
bairro, (2), arvore, (1) 
necessario, (2), inicialmente, (1) 
quali-quantitativo, (2), util, (1) 
util, (2), sentido, (1) 
necrose, (2), podas, (1) 
curso, (2), poda, (1) 
floristico, (2), massarandubacamila, (1) 
inicialmente, (2), diagnostico, (1) 
exotica, (2), abundancia, (1) 
urbano, (4), aquidauana, (1) 
urbano, (4), necessario, (1) 
parametro, (2), espacial, (1) 
origem, (2), parametro, (1) 
distribuem-se, (2), familia, (1) 
cupim, (2), parasita, (1) 
manutencao, (2), arborizacao, (1) 
planejamento, (2), manutencao, (1) 
circunferencia, (2), altura, (1) 
objetivo, (2), diagnostico, (1) 
passeio, (2), sinalizacao, (1) 
espacial, (4), condicao, (1) 
espacial, (4), arvore, (1) 
porte, (2), arvore, (1) 
manejo, (2), arvore, (1) 
tomentoso, (2), porte, (1) 
respeito, (2), especie, (1) 
arvore, (14), informacao, (1) 
arvore, (14), rede, (1) 
arvore, (14), atencao, (1) 
arvore, (14), altura, (1) 
arvore, (14), distancia, (1) 
arvore, (14), oferta, (1) 
arvore, (14), qualquer, (1) 
plantio, (2), especie, (1) 
km, (2), rua, (1) 
nativo, (4), especie, (1) 
nativo, (4), programa, (1) 
licania, (2), tomentoso, (1) 
inclinacao, (2), necrose, (1) 
norma, (2), legal, (1) 
valor, (2), abaixo, (1) 
meio-fio, (2), inferior, (1) 
podas, (2), populacao, (1) 
cm, (2), espacial, (1) 
populacao, (2), bom, (1) 
m, (6), km, (1) 
m, (6), planejamento, (1) 
m, (6), quadrantes, (1) 
viaria, (2), municipio, (1) 
informacao, (2), respeito, (1) 
fungo, (2), injuria, (1) 
diagnostico, (5), situacao, (1) 
diagnostico, (5), arborizacao, (2) 
distancia, (2), meio-fio, (1) 
x, (2), m, (1) 
pratica, (2), municipio, (1) 
recomendamo, (2), norma, (1) 
rua, (2), bairro, (1) 
recomendacao, (2), dentre, (1) 
edificacao, (2), fitossanitario, (1) 
situacao, (2), levantamento, (1) 
eletrica, (2), conflito, (1) 
levantamento, (2), quali-quantitativo, (1) 
arvor, (2), urbanasinventario, (1) 
abundancia, (2), especial, (1) 
poda, (2), pratica, (1) 
sinalizacao, (2), edificacao, (1) 
aquidauana, (4), m, (2) 
legal, (2), manejo, (1) 
condicao, (2), fitossanitaria, (1) 
problema, (2), recomendamo, (1) 
arvoreskm, (2), valor, (1) 
especial, (2), oiti, (1) 
quadrantes, (2), x, (1) 
educacao, (2), ambiental, (1) 
conflito, (4), rede, (1) 
conflito, (4), infraestrutura, (1) 
altura, (4), peito, (1) 
altura, (4), media, (1) 
arborizacao, (6), urbano, (2) 
arborizacao, (6), viaria, (1) 
rede, (4), eletrica, (1) 
rede, (4), cerca, (1) 
bom, (2), presenca, (1) 
atencao, (2), presenca, (1) 
media, (2), circunferencia, (1) 
especie, (10), exotica, (1) 
especie, (10), nativo, (2) 
especie, (10), origem, (1) 
especie, (10), distribuem-se, (1) 
rico, (2), especie, (1) 
peito, (2), cm, (1) 
abaixo, (2), especie, (1) 
inferior, (2), recomendacao, (1) 
injuria, (2), inclinacao, (1) 
qualquer, (4), tipo, (1) 
qualquer, (4), problema, (1) 
fitossanitario, (2), arvore, (1) 
fabaceae, (2), rico, (1) 
parasita, (2), fungo, (1) 
massarandubacamila, (2), aoki, (1) 
oiti, (2), licania, (1) 
familia, (2), fabaceae, (1) 
