Vertice, peso (V), Aresta, peso (A)
capital, (2), brasileiro, (1) 
influenciar, (2), comportamento, (1) 
levantamento, (2), grade, (1) 
curricular, (2), curso, (1) 
aula, (2), processamento, (1) 
software, (2), iramuteq, (1) 
silva, (2), freitasrogerio, (1) 
curriculo, (2), universidade, (1) 
conservacao, (2), ambiental, (1) 
pedagogico, (2), curso, (1) 
carga, (2), horaria, (1) 
possibila, (2), desenvolvimento, (1) 
dificuldade, (2), tema, (1) 
camila, (2), silva, (1) 
analise, (2), ementa, (1) 
sustentabilidade, (8), recurso, (1) 
sustentabilidade, (8), educacao, (1) 
sustentabilidade, (8), aula, (1) 
sustentabilidade, (8), pratica, (1) 
habilidade, (2), competencia, (1) 
estudo, (2), tema, (1) 
ambiental, (4), educacao, (1) 
ambiental, (4), decisao, (1) 
natural, (8), serie, (1) 
natural, (8), sustentabilidade, (2) 
natural, (8), inicial, (1) 
levem, (2), futuro, (1) 
brasileiro, (2), projeto, (1) 
freitasrogerio, (2), rodrigue, (1) 
municipio, (2), campo, (1) 
desenvolvimento, (2), habilidade, (1) 
campo, (2), dado, (1) 
educacao, (6), ambiental, (1) 
educacao, (6), cienciassustentabilidadeensino, (1) 
educacao, (6), pratica, (1) 
professor, (6), escola, (1) 
professor, (6), levantamento, (1) 
professor, (6), serie, (1) 
horaria, (2), minima, (1) 
projeto, (2), politico, (1) 
ciencia, (4), recurso, (1) 
ciencia, (4), possibila, (1) 
curso, (8), universo, (1) 
curso, (8), academico, (1) 
curso, (8), pedagogia, (1) 
curso, (8), carga, (1) 
decisao, (2), levem, (1) 
grade, (2), curricular, (1) 
universidade, (4), federal, (2) 
comportamento, (2), essencial, (1) 
iramuteq, (4), concluiu-se, (1) 
iramuteq, (4), resultado, (1) 
questionario, (2), professor, (1) 
recurso, (7), natural, (4) 
rede, (2), publica, (1) 
ambiente, (2), estudo, (1) 
fundamental, (2), pratica, (1) 
cienciasctsa, (2), camila, (1) 
competencia, (2), concepcao, (1) 
minima, (2), ensino, (1) 
escola, (2), rede, (1) 
formacao, (4), professor, (1) 
formacao, (4), docente, (1) 
essencial, (2), conservacao, (1) 
principio, (2), influenciar, (1) 
federal, (4), capital, (1) 
federal, (4), curso, (1) 
ensino, (4), ciencia, (1) 
ensino, (4), fundamental, (1) 
publica, (2), municipio, (1) 
concluiu-se, (2), professor, (1) 
resultado, (2), analise, (1) 
cienciassustentabilidadeensino, (2), cienciasctsa, (1) 
dado, (2), software, (1) 
docente, (4), educacao, (1) 
docente, (4), questionario, (1) 
inicial, (6), formacao, (1) 
inicial, (6), dificuldade, (1) 
inicial, (6), ensino, (1) 
academico, (2), tema, (1) 
informacao, (2), curriculo, (1) 
tema, (6), recurso, (1) 
tema, (6), sustentabilidade, (2) 
sociedade, (4), ciencia, (1) 
sociedade, (4), ambiente, (1) 
amostral, (2), universidade, (1) 
ementa, (2), curso, (1) 
futuro, (2), sociedade, (1) 
serie, (4), inicial, (2) 
processamento, (2), iramuteq, (1) 
pratica, (6), formacao, (1) 
pratica, (6), principio, (1) 
pratica, (6), docente, (1) 
universo, (2), amostral, (1) 
politico, (2), pedagogico, (1) 
pedagogia, (2), informacao, (1) 
concepcao, (2), sociedade, (1) 
