Vertice, peso (V), Aresta, peso (A)
indigena, (12), nioaque, (2) 
indigena, (12), aldeia, (1) 
indigena, (12), yomomo, (1) 
indigena, (12), tono, (1) 
indigena, (12), bioma, (1) 
pesquisa, (10), exploratoria, (1) 
pesquisa, (10), materializacao, (1) 
pesquisa, (10), cientifica, (1) 
pesquisa, (10), etnodesenvolvimento, (1) 
pesquisa, (10), sequencialmente, (1) 
etnodesenvolvimento, (9), sustentavel, (3) 
etnodesenvolvimento, (9), povo, (1) 
etnodesenvolvimento, (9), construtivo, (1) 
aldeia, (8), brejo, (1) 
aldeia, (8), brejao, (2) 
aldeia, (8), analise, (1) 
desenvolvimento, (8), objetivo, (1) 
desenvolvimento, (8), comunidade, (1) 
desenvolvimento, (8), preservacao, (1) 
desenvolvimento, (8), indigena, (1) 
sustentavel, (6), resultado, (1) 
sustentavel, (6), associacao, (1) 
sustentavel, (6), estudo, (1) 
povo, (6), terena, (1) 
povo, (6), comunidade, (1) 
povo, (6), indigena, (1) 
comunidade, (6), tradicional, (2) 
comunidade, (6), acao, (1) 
tradicional, (4), formacao, (1) 
tradicional, (4), respeito, (1) 
yomomo, (4), aldeia, (1) 
yomomo, (4), ahy, (1) 
