Vertice, peso (V), Aresta, peso (A)
cientifica, (2), tange, (1) 
agropecuaria, (2), sustentabilidade, (1) 
conservacao, (4), recurso, (1) 
conservacao, (4), natureza, (1) 
transformacao, (2), transparencia, (1) 
comunitaria, (2), seguida, (1) 
uso, (4), solo, (2) 
mapbioma, (2), influencia, (1) 
grosso, (2), sul, (1) 
mercado, (2), atividade, (1) 
discussao, (2), tema, (1) 
mapeamento, (2), producao, (1) 
analise, (4), imagem, (1) 
analise, (4), avanco, (1) 
rio, (2), produto, (1) 
sustentabilidade, (2), conservacao, (1) 
ferreira, (2), moral, (1) 
natureza, (6), solucao, (1) 
natureza, (6), bonito, (1) 
natureza, (6), especifico, (1) 
natural, (2), juliane, (1) 
ms, (2), municipio, (1) 
municipio, (2), bonito, (1) 
ecoturismo, (11), atividade, (1) 
ecoturismo, (11), bonitom, (1) 
ecoturismo, (11), agropecuaria, (1) 
ecoturismo, (11), natureza, (1) 
ecoturismo, (11), efetivo, (1) 
ecoturismo, (11), turismo, (1) 
imagem, (2), uso, (1) 
turismo, (4), sustentavel, (1) 
turismo, (4), comunitaria, (1) 
-, (2), ms, (1) 
tange, (2), ecoturismo, (1) 
atividade, (4), economica, (2) 
movimentacao, (2), economica, (1) 
solucao, (2), mercado, (1) 
plataforma, (2), mapbioma, (1) 
producao, (2), cientifica, (1) 
mato, (2), grosso, (1) 
avanco, (2), discussao, (1) 
secundario, (2), movimentacao, (1) 
recurso, (2), natural, (1) 
influencia, (2), transformacao, (1) 
bonitom, (2), analise, (1) 
bonito, (4), mato, (1) 
bonito, (4), -, (1) 
sustentavel, (2), turismo, (1) 
sul, (2), ecoturismo, (1) 
seguida, (2), dado, (1) 
juliane, (2), ferreira, (1) 
especifico, (2), uso, (1) 
principal, (2), ecoturismo, (1) 
economica, (6), principal, (1) 
economica, (6), ecoturismo, (2) 
transparencia, (2), rio, (1) 
dado, (2), secundario, (1) 
solo, (4), primeiramente, (1) 
solo, (4), plataforma, (1) 
tema, (2), natureza, (1) 
produto, (2), analise, (1) 
primeiramente, (2), mapeamento, (1) 
efetivo, (2), conservacao, (1) 
