Vertice, peso (V), Aresta, peso (A)
imagem, (14), sensoriamento, (1) 
imagem, (14), espacial, (2) 
imagem, (14), aerea, (2) 
imagem, (14), visao, (1) 
imagem, (14), optica, (1) 
classificacao, (14), epoca, (2) 
classificacao, (14), imagem, (1) 
classificacao, (14), insatisfatoria, (1) 
classificacao, (14), classificacao, (1) 
classificacao, (14), satelite, (1) 
classificacao, (14), empregando, (1) 
area, (12), urbano, (1) 
area, (12), permeavel, (4) 
area, (12), escala, (1) 
espacial, (10), resultado, (1) 
espacial, (10), cm, (4) 
cm, (10), tipo, (1) 
cm, (10), arquitetura, (1) 
cm, (10), segmentacao, (2) 
cm, (10), modelo, (1) 
resolucao, (10), espacial, (3) 
resolucao, (10), orbital, (1) 
resolucao, (10), cm, (1) 
permeavel, (8), proveniente, (1) 
permeavel, (8), classificacao, (1) 
permeavel, (8), bacia, (2) 
learning, (8), aprendizagem, (1) 
learning, (8), sensoriamento, (1) 
learning, (8), imagem, (1) 
learning, (8), subarea, (1) 
orbital, (6), resolucao, (2) 
orbital, (6), metodo, (1) 
deep, (6), learning, (3) 
