Vertice, peso (V), Aresta, peso (A)
emissao, (11), gwp, (1) 
emissao, (11), gas, (1) 
emissao, (11), co, (3) 
emissao, (11), poluentes, (1) 
metodo, (8), necessario, (1) 
metodo, (8), dnit, (1) 
metodo, (8), construtivo, (1) 
metodo, (8), tange, (1) 
impacto, (8), ambiental, (2) 
impacto, (8), ambientalavaliacao, (1) 
impacto, (8), asfalto, (1) 
manutencao, (8), rodovia, (2) 
manutencao, (8), acrescimento, (1) 
manutencao, (8), rodoviaria, (1) 
estudo, (8), br, (1) 
estudo, (8), pavimento, (1) 
estudo, (8), caso, (2) 
ciclo, (8), cada, (1) 
ciclo, (8), vida, (2) 
ciclo, (8), vidamanutencao, (1) 
avaliacao, (8), ciclo, (2) 
avaliacao, (8), especificamente, (1) 
avaliacao, (8), emissao, (1) 
rodovia, (6), conforme, (1) 
rodovia, (6), estudo, (1) 
rodovia, (6), impacto, (1) 
ambiental, (6), significativo, (1) 
ambiental, (6), diferente, (1) 
ambiental, (6), proveniente, (1) 
co, (6), energetico, (2) 
co, (6), estudo, (1) 
