Vertice, peso (V), Aresta, peso (A)
utilizou-se, (2), metodo, (1) 
via, (2), condicao, (1) 
poluentes, (2), melhoria, (1) 
superficial, (2), pavimento, (1) 
caso, (4), br, (1) 
caso, (4), recuperacao, (1) 
dnit, (2), manutencao, (1) 
metodo, (8), necessario, (1) 
metodo, (8), dnit, (1) 
metodo, (8), construtivo, (1) 
metodo, (8), tange, (1) 
emissao, (11), gwp, (1) 
emissao, (11), gas, (1) 
emissao, (11), co, (3) 
emissao, (11), poluentes, (1) 
asfalto, (2), quente, (1) 
quentegas, (2), efeito, (1) 
rodovia, (6), conforme, (1) 
rodovia, (6), estudo, (1) 
rodovia, (6), impacto, (1) 
ambiental, (6), significativo, (1) 
ambiental, (6), diferente, (1) 
ambiental, (6), proveniente, (1) 
necessario, (2), floresta, (1) 
imagem, (2), satelite, (1) 
acrescimento, (2), caminho, (1) 
impacto, (8), ambiental, (2) 
impacto, (8), ambientalavaliacao, (1) 
impacto, (8), asfalto, (1) 
nunes, (2), ferreiraalexandre, (1) 
solucao, (4), equivalencia, (1) 
solucao, (4), imagem, (1) 
decisao, (4), ferramenta, (1) 
decisao, (4), diminuicao, (1) 
setor, (2), avaliacao, (1) 
poluidor, (2), silvicultura, (1) 
coproposta, (2), palate, (1) 
vida, (4), material, (1) 
vida, (4), possibila, (1) 
manutencao, (8), rodovia, (2) 
manutencao, (8), acrescimento, (1) 
manutencao, (8), rodoviaria, (1) 
literatura, (2), verificou-se, (1) 
estufa, (2), nunes, (1) 
br, (4), objetivo, (1) 
br, (4), impacto, (1) 
objetivo, (2), emissao, (1) 
recuperacao, (2), rodovia, (1) 
energetico, (4), manutencao, (2) 
pavimento, (4), projeto, (1) 
pavimento, (4), estrada, (1) 
diminuicao, (2), emissao, (1) 
definiu-se, (2), extracao, (1) 
efeito, (2), estufa, (1) 
diferente, (2), metodo, (1) 
co, (6), energetico, (2) 
co, (6), estudo, (1) 
ocorrencia, (2), material, (1) 
cada, (2), projeto, (1) 
distancia, (2), media, (1) 
fator, (2), poluidor, (1) 
satelite, (2), area, (1) 
quantifica-las, (2), mitigacao, (1) 
gwp, (2), mj, (1) 
rodoviariamistura, (2), asfaltica, (1) 
correta, (2), decisao, (1) 
proveniente, (4), acao, (1) 
proveniente, (4), manutencao, (1) 
quente, (2), utilizou-se, (1) 
construtivo, (2), avaliacao, (1) 
mitigacao, (2), coproposta, (1) 
iteracao, (2), solucao, (1) 
possibila, (2), correta, (1) 
ferreiraalexandre, (2), meira, (1) 
mj, (2), energia, (1) 
estudo, (8), br, (1) 
estudo, (8), pavimento, (1) 
estudo, (8), caso, (2) 
tal, (2), resultado, (1) 
area, (2), reflorestamento, (1) 
carbono, (4), proveniente, (1) 
carbono, (4), emissao, (1) 
melhoria, (2), ambiental, (1) 
ambientalavaliacao, (2), ciclo, (1) 
ciclo, (8), cada, (1) 
ciclo, (8), vida, (2) 
ciclo, (8), vidamanutencao, (1) 
condicao, (2), superficial, (1) 
energia, (2), tal, (1) 
realizacao, (2), iteracao, (1) 
avaliacao, (8), ciclo, (2) 
avaliacao, (8), especificamente, (1) 
avaliacao, (8), emissao, (1) 
sequestro, (4), carbono, (2) 
tange, (2), emissao, (1) 
conforme, (2), metodo, (1) 
projeto, (4), definiu-se, (1) 
projeto, (4), qualquer, (1) 
palate, (2), realizacao, (1) 
rodoviaria, (2), impacto, (1) 
ferramenta, (2), avaliacao, (1) 
transporte, (2), ocorrencia, (1) 
media, (2), transporte, (1) 
asfaltica, (4), quentegas, (1) 
asfaltica, (4), metodo, (1) 
principal, (2), fator, (1) 
reflorestamento, (2), quantifica-las, (1) 
silvicultura, (2), alternativo, (1) 
estrutural, (2), impacto, (1) 
especificamente, (2), estudo, (1) 
estrada, (2), estudo, (1) 
gas, (2), poluente, (1) 
poluente, (2), principal, (1) 
resultado, (2), avaliacao, (1) 
significativo, (2), setor, (1) 
extracao, (2), material, (1) 
qualquer, (2), decisao, (1) 
meira, (2), vasconcelo, (1) 
equivalencia, (2), estrutural, (1) 
alternativo, (2), sequestro, (1) 
material, (6), solucao, (1) 
material, (6), distancia, (1) 
material, (6), mistura, (1) 
verificou-se, (2), ciclo, (1) 
mistura, (2), asfaltica, (1) 
vidamanutencao, (2), rodoviariamistura, (1) 
caminho, (2), via, (1) 
floresta, (2), sequestro, (1) 
acao, (2), literatura, (1) 
