Vertice, peso (V), Aresta, peso (A)
monumento, (6), natural, (3) 
doce, (2), eficiencia, (1) 
tipo, (2), cobertura, (1) 
diversidade, (2), biologica, (1) 
entrevisto, (2), gestor, (1) 
software, (4), spring, (1) 
software, (4), segmentacao, (1) 
sistema, (2), agua, (1) 
remota, (2), informacao, (1) 
ibama, (2), criacao, (1) 
regiao, (2), tipo, (1) 
definicao, (2), amostra, (1) 
amortecimento, (2), equivalente, (1) 
rodrigue, (2), limaantonio, (1) 
conexao, (2), autor, (1) 
devido, (2), conflito, (1) 
sentido, (2), objetivo, (1) 
emprego, (2), instrumento, (1) 
instrumento, (7), bom, (1) 
instrumento, (7), eficiencia, (1) 
instrumento, (7), analise, (1) 
instrumento, (7), eficacia, (1) 
analise, (12), bibliometrica, (1) 
analise, (12), cobertura, (1) 
analise, (12), multitemporal, (3) 
analise, (12), entorno, (1) 
rio, (2), formoso, (1) 
remoto, (2), preservacao, (1) 
metodo, (4), entrevisto, (1) 
metodo, (4), classificacao, (1) 
amostra, (2), conclusao, (1) 
dentre, (2), resultado, (1) 
correcao, (2), area, (1) 
agua, (4), doce, (1) 
agua, (4), solo, (1) 
bibliometrica, (2), titulo, (1) 
utilizacao, (2), metodo, (1) 
ambiental, (2), respeito, (1) 
limaantonio, (2), paranho, (1) 
natural, (8), processamento, (1) 
natural, (8), rio, (1) 
natural, (8), reducao, (1) 
natural, (8), limite, (1) 
aplicacao, (2), instrumento, (1) 
imagem, (4), auxilio, (1) 
imagem, (4), satelite, (1) 
conclusao, (2), pos-processamento, (1) 
parque, (2), nacional, (1) 
capaz, (2), dentre, (1) 
criacao, (4), monumento, (1) 
criacao, (4), unidade, (1) 
demonstrem, (2), conservacao, (1) 
autor, (4), publicacao, (1) 
autor, (4), estado, (1) 
publicacao, (4), palavra-chave, (1) 
publicacao, (4), crescimento, (1) 
fiscalizacao, (2), instrumento, (1) 
biologica, (2), harmonia, (1) 
beneficio, (2), area, (1) 
protecao, (6), diversidade, (1) 
protecao, (6), ambiental, (1) 
protecao, (6), metodologia, (1) 
necessaria, (2), gestao, (1) 
equivalente, (2), km, (1) 
science, (2), relevancia, (1) 
inicialmente, (2), procedimento, (1) 
marinha, (2), parque, (1) 
tecnica, (2), sensoriamento, (1) 
nolte, (2), agrawal, (1) 
metodologia, (2), analise, (1) 
busca, (2), publicacao, (1) 
titulo, (2), base, (1) 
unidade, (14), conservacao, (7) 
prazo, (2), ibama, (1) 
limite, (2), publico, (1) 
literatura, (2), referente, (1) 
objetivo, (2), apreciacao, (1) 
palavra-chave, (2), destaque, (1) 
identificou-se, (2), trabalho, (1) 
multitemporal, (6), cobertura, (1) 
multitemporal, (6), mapeamento, (1) 
multitemporal, (6), remota, (1) 
gratuito, (2), trabalho, (1) 
longo, (2), prazo, (1) 
web, (2), science, (1) 
harmonia, (2), atividade, (1) 
formoso, (2), analise, (1) 
classificacao, (2), software, (1) 
respeito, (2), emprego, (1) 
km, (2), mapeamento, (1) 
valor, (2), arborea, (1) 
gestor, (2), tecnica, (1) 
entorno, (6), unidade, (2) 
entorno, (6), nolte, (1) 
informacao, (2), softwar, (1) 
eficiencia, (8), uso, (1) 
eficiencia, (8), area, (1) 
eficiencia, (8), unidade, (2) 
processamento, (4), imagem, (1) 
processamento, (4), inicial, (1) 
preservacao, (2), especie, (1) 
satelite, (2), landsat, (1) 
vegetacao, (8), rasteiro, (1) 
vegetacao, (8), arbustivo, (1) 
vegetacao, (8), arborea, (2) 
muriele, (2), rodrigue, (1) 
referente, (2), ferramenta, (1) 
cobertura, (6), vegetal, (1) 
cobertura, (6), solo, (2) 
estado, (2), brasil, (1) 
proporciona, (2), monitoramento, (1) 
flora, (2), identificou-se, (1) 
expressivo, (2), vegetacao, (1) 
conservacao, (20), raio, (1) 
conservacao, (20), monumento, (1) 
conservacao, (20), necessaria, (1) 
conservacao, (20), protecao, (1) 
conservacao, (20), sistema, (1) 
conservacao, (20), analise, (1) 
conservacao, (20), unidade, (1) 
conservacao, (20), conservacao, (1) 
conservacao, (20), uc, (1) 
conservacao, (20), entorno, (1) 
brasil, (2), pais, (1) 
qgil, (4), devido, (1) 
qgil, (4), correcao, (1) 
uc, (2), area, (1) 
uso, (2), ferramenta, (1) 
spring, (2), software, (1) 
ambos, (2), classe, (1) 
implantacao, (2), unidade, (1) 
arbustivo, (2), vegetacao, (1) 
mapeamento, (4), vegetal, (2) 
ausencia, (2), solo, (1) 
anual, (2), pais, (1) 
apreciacao, (2), literatura, (1) 
agrawal, (2), sentido, (1) 
crescimento, (4), expressivo, (1) 
crescimento, (4), medio, (1) 
area, (14), area, (1) 
area, (14), natural, (1) 
area, (14), protecao, (1) 
area, (14), aplicacao, (1) 
area, (14), processamento, (1) 
area, (14), marinha, (1) 
area, (14), eficacia, (1) 
raio, (2), amortecimento, (1) 
paranho, (2), filho, (1) 
disponibilidade, (2), gratuito, (1) 
gratuitamente, (2), internet, (1) 
gestao, (2), eficiencia, (1) 
atividade, (2), humano, (1) 
conflito, (2), valor, (1) 
trabalho, (6), busca, (1) 
trabalho, (6), conservacao, (1) 
trabalho, (6), base, (1) 
biodiversidade, (2), area, (1) 
segmentacao, (2), definicao, (1) 
procedimento, (2), fatiamento, (1) 
internet, (2), proporciona, (1) 
bom, (2), custo, (1) 
ferramenta, (4), eficiencia, (1) 
ferramenta, (4), demonstrem, (1) 
entanto, (2), analise, (1) 
relevancia, (2), disponibilidade, (1) 
nacional, (2), conexao, (1) 
arborea, (6), rasteiro, (1) 
arborea, (6), inicialmente, (1) 
arborea, (6), ausencia, (1) 
especie, (2), flora, (1) 
softwar, (2), gratuitamente, (1) 
custo, (2), beneficio, (1) 
reducao, (2), significativo, (1) 
medio, (2), anual, (1) 
fatiamento, (2), auxilio, (1) 
publico, (2), protecao, (1) 
observou-se, (2), utilizacao, (1) 
rasteiro, (4), vegetacao, (1) 
rasteiro, (4), quantificar, (1) 
vegetal, (6), implantacao, (1) 
