Vertice, peso (V), Aresta, peso (A)
estudo, (8), pesquisa, (1) 
estudo, (8), ambiental, (1) 
estudo, (8), capitulo, (1) 
estudo, (8), metodo, (1) 
veiculo, (8), usv, (3) 
veiculo, (8), estudo, (1) 
metodo, (7), bom, (1) 
metodo, (7), interpolacao, (2) 
metodo, (7), dado, (1) 
usv, (6), aplicacao, (1) 
usv, (6), analise, (1) 
usv, (6), estudo, (1) 
capitulo, (6), capitulo, (1) 
capitulo, (6), comparacao, (1) 
capitulo, (6), mapeamento, (1) 
analise, (4), cienciometrica, (1) 
analise, (4), metodo, (1) 
interpolacao, (4), veiculo, (1) 
interpolacao, (4), irregular, (1) 
artigo, (4), revisao, (1) 
artigo, (4), artigo, (1) 
grandem, (2), estudo, (1) 
cientifica, (2), veiculo, (1) 
